"Provider"	"EventID"	"#"	"ValueHEX"	"ValueDEC"	"Name"	"Displayname"
"Microsoft-Windows-WLAN-AutoConfig"	"20009"	"3"	"0x2000002000000020"	"2305843009213693952, 137438953472, 32, "	", ut:Authentication, MSM, "	", , , "
"Microsoft-Windows-WLAN-AutoConfig"	"21062"	"3"	"0x2000002000000040"	"2305843009213693952, 137438953472, 64, "	", ut:Authentication, MSMSEC, "	", , , "
"Microsoft-Windows-Shell-Core"	"62460"	"3"	"0x2000002000010000"	"2305843009213693952, 137438953472, 65536, "	", OOBEHealth, Shell, "	", , , "
"Microsoft-Windows-WLAN-AutoConfig"	"20013"	"4"	"0x2000002020000020"	"2305843009213693952, 137438953472, 536870912, 32, "	", ut:Authentication, Telemetry, MSM, "	", , , , "
"Microsoft-Windows-WLAN-AutoConfig"	"21056"	"4"	"0x2000002020000040"	"2305843009213693952, 137438953472, 536870912, 64, "	", ut:Authentication, Telemetry, MSMSEC, "	", , , , "
"Microsoft-Windows-PersistentMemory-PmemDisk"	"108"	"2"	"0x2000004000000000"	"2305843009213693952, 274877906944, "	", PnP, "	", PnP request, "
"Microsoft-Windows-WLAN-AutoConfig"	"14054"	"3"	"0x2000004000000001"	"2305843009213693952, 274877906944, 1, "	", ut:Configuration, IntfContext, "	", , , "
"Microsoft-Windows-WLAN-AutoConfig"	"14009"	"4"	"0x2000004000000401"	"2305843009213693952, 274877906944, 1024, 1, "	", ut:Configuration, LwtDiagnostic, IntfContext, "	", , , , "
"Microsoft-Windows-WLAN-AutoConfig"	"14003"	"4"	"0x2000004020000001"	"2305843009213693952, 274877906944, 536870912, 1, "	", ut:Configuration, Telemetry, IntfContext, "	", , , , "
"Microsoft-Windows-WLAN-AutoConfig"	"14011"	"5"	"0x2000004020000401"	"2305843009213693952, 274877906944, 536870912, 1024, 1, "	", ut:Configuration, Telemetry, LwtDiagnostic, IntfContext, "	", , , , , "
"Microsoft-Windows-WLAN-AutoConfig"	"21039"	"4"	"0x200000a000000040"	"2305843009213693952, 549755813888, 137438953472, 64, "	", ut:Global, ut:Authentication, MSMSEC, "	", , , , "
"Microsoft-Windows-WFP"	"1011"	"2"	"0x2000010000000000"	"2305843009213693952, 1099511627776, "	", ut:Dropped, "	", , "
"Microsoft-Windows-Hyper-V-VmSwitch"	"37"	"3"	"0x2000010000000002"	"2305843009213693952, 1099511627776, 2, "	", ut:Dropped, VmsDataPath, "	", , , "
"Microsoft-Windows-Hyper-V-VmSwitch"	"53"	"3"	"0x2000010000000008"	"2305843009213693952, 1099511627776, 8, "	", ut:Dropped, VmsQos, "	", , , "
"Microsoft-Windows-WFP"	"1003"	"3"	"0x2000010000000010"	"2305843009213693952, 1099511627776, 16, "	", ut:Dropped, ut:AOAC, "	", , , "
"Microsoft-Windows-WLAN-AutoConfig"	"21017"	"4"	"0x2000042000000040"	"2305843009213693952, 4398046511104, 137438953472, 64, "	", ut:Packet, ut:Authentication, MSMSEC, "	", , , , "
"Microsoft-Windows-Kernel-Boot"	"44"	"2"	"0x2000080000000000"	"2305843009213693952, 8796093022208, "	", LOG_TO_BOOTSTAT, "	", , "
"Microsoft-Windows-Kernel-Boot"	"41"	"2"	"0x2000200000000000"	"2305843009213693952, 35184372088832, "	", ms:Telemetry, "	", , "
"Microsoft-Windows-AppModel-Runtime"	"79"	"3"	"0x2000200000000001"	"2305843009213693952, 35184372088832, 1, "	", ms:Telemetry, Process, "	", , Process, "
"Microsoft-Windows-Shell-Core"	"62409"	"4"	"0x2000200004010000"	"2305843009213693952, 35184372088832, 67108864, 65536, "	", ms:Telemetry, StartupPerf, Shell, "	", , , , "
"Microsoft-Windows-Kernel-Boot"	"42"	"3"	"0x2000280000000000"	"2305843009213693952, 35184372088832, 8796093022208, "	", ms:Telemetry, LOG_TO_BOOTSTAT, "	", , , "
"Microsoft-Windows-RemoteAssistance"	"6"	"2"	"0x2000400000000000"	"2305843009213693952, 70368744177664, "	", ut:Diagnostic, "	", , "
"Microsoft-Windows-Diagnostics-Networking"	"7050"	"3"	"0x2000400000000001"	"2305843009213693952, 70368744177664, 1, "	", ut:Diagnostic, ndf:NDFCoreEvents, "	", , Core Events, "
"Microsoft-Windows-Diagnostics-Networking"	"6200"	"3"	"0x2000400000000002"	"2305843009213693952, 70368744177664, 2, "	", ut:Diagnostic, ndf:NDFHelperClassEvents, "	", , Helper Class Events, "
"Microsoft-Windows-WLAN-AutoConfig"	"20024"	"3"	"0x2000400000000020"	"2305843009213693952, 70368744177664, 32, "	", ut:Scan, MSM, "	", , , "
"Microsoft-Windows-Setup"	"2003"	"2"	"0x2000800000000000"	"2305843009213693952, 140737488355328, "	", ms:CriticalData, "	", , "
"Microsoft-Windows-WLAN-AutoConfig"	"30102"	"2"	"0x2001000000000000"	"2305843009213693952, 281474976710656, "	", win:ResponseTime, "	", Response Time, "
"Microsoft-Windows-UserPnp"	"7702"	"3"	"0x2001000000000001"	"2305843009213693952, 281474976710656, 1, "	", win:ResponseTime, PerfTrackContext, "	", Response Time, , "
"Microsoft-Windows-Diagnostics-Networking"	"8004"	"3"	"0x2001000000000004"	"2305843009213693952, 281474976710656, 4, "	", win:ResponseTime, ndf:Performance, "	", Response Time, Performance Events, "
"Microsoft-Windows-AppModel-State"	"440"	"3"	"0x2001000000000010"	"2305843009213693952, 281474976710656, 16, "	", win:ResponseTime, WinRT, "	", Response Time, WinRT, "
"Microsoft-Windows-SettingSync"	"7309"	"3"	"0x2001000000000020"	"2305843009213693952, 281474976710656, 32, "	", win:ResponseTime, BackupTask, "	", Response Time, , "
"Microsoft-Windows-WindowsUpdateClient"	"106"	"3"	"0x2001000000000800"	"2305843009213693952, 281474976710656, 2048, "	", win:ResponseTime, Performance, "	", Response Time, Performance, "
"Microsoft-Windows-AppHost"	"1022"	"3"	"0x2001000000010000"	"2305843009213693952, 281474976710656, 65536, "	", win:ResponseTime, WwaHost, "	", Response Time, , "
"Microsoft-Windows-PrintService"	"833"	"3"	"0x2001000000020000"	"2305843009213693952, 281474976710656, 131072, "	", win:ResponseTime, SPOOLER_KEYWORD, "	", Response Time, Print Spooler, "
"Microsoft-Windows-PrintService"	"832"	"3"	"0x2001000000100000"	"2305843009213693952, 281474976710656, 1048576, "	", win:ResponseTime, XPS_PRINT_API_KEYWORD_PERFORMANCE, "	", Response Time, XPS Print API performance, "
"Microsoft-Windows-Shell-Core"	"62170"	"3"	"0x2001000200000000"	"2305843009213693952, 281474976710656, 8589934592, "	", win:ResponseTime, LogonPerformance, "	", Response Time, , "
"Microsoft-Windows-Shell-AuthUI"	"25072"	"3"	"0x2001200000000000"	"2305843009213693952, 281474976710656, 35184372088832, "	", win:ResponseTime, ms:Telemetry, "	", Response Time, , "
"Microsoft-Windows-PrintService"	"807"	"2"	"0x2004000000000000"	"2305843009213693952, 1125899906842624, "	", win:WDIDiag, "	", WDI Diag, "
"Microsoft-Windows-User-ControlPanel"	"8020"	"2"	"0x2008000000000000"	"2305843009213693952, 2251799813685248, "	", win:SQM, "	", SQM, "
"Microsoft-Windows-User Profiles Service"	"70"	"1"	"0x4000000000000000"	"4611686018427387904, "		
"Microsoft-Windows-AppXDeployment-Server"	"607"	"2"	"0x4000000000000001"	"4611686018427387904, 1, "	", APPXDEPLOYMENTSERVER_KEYWORD, "	", AppXDeploymentServer Keyword, "
"Microsoft-Windows-UserPnp"	"7554"	"2"	"0x4000000000000002"	"4611686018427387904, 2, "	", UserPnp, "	", , "
"Microsoft-Windows-Remotefs-Rdbss"	"30001"	"3"	"0x4000000000000003"	"4611686018427387904, 2, 1, "	", Rdbss_Info, Rdbss_Perf, "	", , , "
"Microsoft-Windows-AppXDeployment-Server"	"325"	"2"	"0x4000000000000004"	"4611686018427387904, 4, "	", OSIM_KEYWORD, "	", OSIM Keyword, "
"Microsoft-Windows-USB-USBHUB3"	"96"	"3"	"0x4000000000000005"	"4611686018427387904, 4, 1, "	", IRP, Default, "	", , , "
"Microsoft-Windows-WinRM"	"229"	"3"	"0x4000000000000006"	"4611686018427387904, 4, 2, "	", Keyword.Server, Keyword.Client, "	", Server, Client, "
"Microsoft-Windows-NDIS"	"10006"	"2"	"0x4000000000000008"	"4611686018427387904, 8, "	", Bind, "	", , "
"Microsoft-Windows-Kernel-Power"	"2"	"3"	"0x4000000000000009"	"4611686018427387904, 8, 1, "	", po:Performance, po:Scenario, "	", , , "
"Microsoft-Windows-WinRM"	"161"	"3"	"0x400000000000000a"	"4611686018427387904, 8, 2, "	", Keyword.Security, Keyword.Client, "	", Security, Client, "
"Microsoft-Windows-WinRM"	"215"	"3"	"0x400000000000000c"	"4611686018427387904, 8, 4, "	", Keyword.Security, Keyword.Server, "	", Security, Server, "
"Microsoft-Windows-AppXDeployment-Server"	"5102"	"2"	"0x4000000000000010"	"4611686018427387904, 16, "	", AUTOPLAY_DEH_KEYWORD, "	", AutoPlay Extension Handler Keyword, "
"Microsoft-Windows-USB-USBHUB3"	"57"	"3"	"0x4000000000000011"	"4611686018427387904, 16, 1, "	", PnP, Default, "	", , , "
"Microsoft-Windows-AAD"	"1203"	"3"	"0x4000000000000012"	"4611686018427387904, 16, 2, "	", Operational, Error, "	", Operational, Error, "
"Microsoft-Windows-Serial-ClassExtension-V2"	"31"	"3"	"0x4000000000000014"	"4611686018427387904, 16, 4, "	", ReceiveTransferStateMachine, TransferStateMachine, "	", Receive TransferStateMachine events., TransferStateMachine events., "
"Microsoft-Windows-CAPI2"	"16"	"4"	"0x400000000000001a"	"4611686018427387904, 16, 8, 2, "	", Retrieval, Cache, PathDiscovery, "	", Retrieval, Cache, Path Discovery, "
"Microsoft-Windows-Wcmsvc"	"1024"	"2"	"0x4000000000000020"	"4611686018427387904, 32, "	", LwtDiagnostic, "	", , "
"Microsoft-Windows-USB-USBXHCI"	"43"	"3"	"0x4000000000000021"	"4611686018427387904, 32, 1, "	", Performance, Default, "	", , , "
"Microsoft-Windows-NlaSvc"	"4205"	"3"	"0x4000000000000022"	"4611686018427387904, 32, 2, "	", LwtDiagnostic, Resolver, "	", , , "
"Microsoft-Windows-WindowsUpdateClient"	"31"	"3"	"0x4000000000000024"	"4611686018427387904, 32, 4, "	", failure, download, "	", Failure, Download, "
"Microsoft-Windows-NlaSvc"	"4343"	"4"	"0x4000000000000026"	"4611686018427387904, 32, 4, 2, "	", LwtDiagnostic, Intranet, Resolver, "	", , , , "
"Microsoft-Windows-CAPI2"	"18"	"4"	"0x400000000000002a"	"4611686018427387904, 32, 8, 2, "	", AutoRootUpdate, Cache, PathDiscovery, "	", Automatic Root Update, Cache, Path Discovery, "
"Microsoft-Windows-CAPI2"	"51"	"5"	"0x400000000000002e"	"4611686018427387904, 32, 8, 4, 2, "	", AutoRootUpdate, Cache, Revocation, PathDiscovery, "	", Automatic Root Update, Cache, Revocation, Path Discovery, "
"Microsoft-Windows-AAD"	"1211"	"3"	"0x4000000000000030"	"4611686018427387904, 32, 16, "	", Warning, Operational, "	", Warning, Operational, "
"Microsoft-Windows-CAPI2"	"20"	"4"	"0x4000000000000032"	"4611686018427387904, 32, 16, 2, "	", AutoRootUpdate, Retrieval, PathDiscovery, "	", Automatic Root Update, Retrieval, Path Discovery, "
"Microsoft-Windows-CAPI2"	"53"	"5"	"0x4000000000000036"	"4611686018427387904, 32, 16, 4, 2, "	", AutoRootUpdate, Retrieval, Revocation, PathDiscovery, "	", Automatic Root Update, Retrieval, Revocation, Path Discovery, "
"Microsoft-Windows-AppXDeployment-Server"	"9019"	"2"	"0x4000000000000040"	"4611686018427387904, 64, "	", PACKAGED_COM_DEH_KEYWORD, "	", PackagedCom Extension Handler Keyword, "
"Microsoft-Windows-RRAS"	"11003"	"3"	"0x4000000000000041"	"4611686018427387904, 64, 1, "	", ut:Mprapi, ut:RrasAdmin, "	", , , "
"Microsoft-Windows-WinRM"	"173"	"3"	"0x4000000000000048"	"4611686018427387904, 64, 8, "	", Keyword.Error, Keyword.Security, "	", Error, Security, "
"Microsoft-Windows-Kernel-StoreMgr"	"18"	"3"	"0x4000000000000050"	"4611686018427387904, 64, 16, "	", StoreDiag, StoreOps, "	", , , "
"Microsoft-Windows-Serial-ClassExtension-V2"	"17"	"3"	"0x4000000000000060"	"4611686018427387904, 64, 32, "	", TransmitIO, IO, "	", Transmit I/O request events., I/O request events., "
"Microsoft-Windows-Application Server-Applications"	"3561"	"2"	"0x4000000000000080"	"4611686018427387904, 128, "	", WebHost, "	", Web Host, "
"Microsoft-Windows-RRAS"	"13001"	"3"	"0x4000000000000081"	"4611686018427387904, 128, 1, "	", ut:SstpSvc, ut:RrasAdmin, "	", , , "
"Microsoft-Windows-Serial-ClassExtension-V2"	"21"	"3"	"0x40000000000000a0"	"4611686018427387904, 128, 32, "	", ReceiveIO, IO, "	", Receive I/O request events., I/O request events., "
"Microsoft-Windows-Diagnosis-ScriptedDiagnosticsProvider"	"4000"	"2"	"0x4000000000000100"	"4611686018427387904, 256, "	", search, "	", Search, "
"Microsoft-Windows-RRAS"	"15001"	"3"	"0x4000000000000101"	"4611686018427387904, 256, 1, "	", ut:Rasppp, ut:RrasAdmin, "	", , , "
"Microsoft-Windows-WindowsUpdateClient"	"36"	"3"	"0x4000000000000110"	"4611686018427387904, 256, 16, "	", selfupdate, success, "	", SelfUpdate, Success, "
"Microsoft-Windows-WindowsUpdateClient"	"34"	"3"	"0x4000000000000120"	"4611686018427387904, 256, 32, "	", selfupdate, failure, "	", SelfUpdate, Failure, "
"Microsoft-Windows-PushNotifications-Platform"	"2032"	"2"	"0x4000000000000200"	"4611686018427387904, 512, "	", wpnend, "	", Endpoint Manager, "
"Microsoft-Windows-USB-MAUSBHOST"	"64"	"3"	"0x4000000000000201"	"4611686018427387904, 512, 1, "	", StateMachine, Default, "	", , , "
"Microsoft-Windows-Kernel-Power"	"543"	"3"	"0x4000000000000204"	"4611686018427387904, 512, 4, "	", po:SleepStudy, po:Diagnostic, "	", , , "
"Microsoft-Windows-PrintService"	"217"	"3"	"0x4000000000000220"	"4611686018427387904, 512, 32, "	", SPOOLER_KEYWORD_SETUP, SPOOLER_KEYWORD_PRINTER, "	", Printer Setup, Printer, "
"Microsoft-Windows-WindowsUpdateClient"	"39"	"3"	"0x4000000000000280"	"4611686018427387904, 512, 128, "	", service, state, "	", Service, State, "
"Microsoft-Windows-PrintService"	"229"	"3"	"0x4000000000000300"	"4611686018427387904, 512, 256, "	", SPOOLER_KEYWORD_SETUP, SPOOLER_KEYWORD_DRIVER, "	", Printer Setup, Print Driver, "
"Microsoft-Windows-OfflineFiles"	"2011"	"2"	"0x4000000000000400"	"4611686018427387904, 1024, "	", CscEvtKeywd_ExcludedFileType, "	", Blocked excluded file extensions, "
"Microsoft-Windows-RRAS"	"19000"	"3"	"0x4000000000000401"	"4611686018427387904, 1024, 1, "	", ut:RasGre, ut:RrasAdmin, "	", , , "
"Microsoft-Windows-Kernel-Power"	"408"	"3"	"0x4000000000000404"	"4611686018427387904, 1024, 4, "	", po:DiagnosticLight, po:Diagnostic, "	", , , "
"Microsoft-Windows-Kernel-EventTracing"	"14"	"3"	"0x4000000000000420"	"4611686018427387904, 1024, 32, "	", ETW_KEYWORD_ENABLEMENT, ETW_KEYWORD_PROVIDER, "	", , Provider, "
"Microsoft-Windows-Kernel-Power"	"107"	"4"	"0x4000000000000444"	"4611686018427387904, 1024, 64, 4, "	", po:DiagnosticLight, po:PerfTrackContext, po:Diagnostic, "	", , , , "
"Microsoft-Windows-WindowsUpdateClient"	"42"	"3"	"0x4000000000000480"	"4611686018427387904, 1024, 128, "	", health, state, "	", Health, State, "
"Microsoft-Windows-Serial-ClassExtension-V2"	"22"	"3"	"0x4000000000000500"	"4611686018427387904, 1024, 256, "	", ReceiveIOPayload, IOPayload, "	", Receive I/O request payloads., I/O request payloads., "
"Microsoft-Windows-Diagnosis-PCW"	"24"	"2"	"0x4000000000000800"	"4611686018427387904, 2048, "	", errors, "	", Errors, "
"Microsoft-Windows-Kernel-Power"	"174"	"3"	"0x4000000000000802"	"4611686018427387904, 2048, 2, "	", po:PerformanceLight, po:Simple, "	", , , "
"Microsoft-Windows-Kernel-Power"	"134"	"3"	"0x4000000000000808"	"4611686018427387904, 2048, 8, "	", po:PerformanceLight, po:Performance, "	", , , "
"Microsoft-Windows-Kernel-Power"	"148"	"4"	"0x4000000000000809"	"4611686018427387904, 2048, 8, 1, "	", po:PerformanceLight, po:Performance, po:Scenario, "	", , , , "
"Microsoft-Windows-PrintService"	"302"	"3"	"0x4000000000000820"	"4611686018427387904, 2048, 32, "	", SPOOLER_KEYWORD_CLASSIC, SPOOLER_KEYWORD_PRINTER, "	", Classic Spooler Event, Printer, "
"Microsoft-Windows-PrintService"	"307"	"3"	"0x4000000000000840"	"4611686018427387904, 2048, 64, "	", SPOOLER_KEYWORD_CLASSIC, SPOOLER_KEYWORD_JOB, "	", Classic Spooler Event, Document Print Job, "
"Microsoft-Windows-PrintService"	"316"	"3"	"0x4000000000000900"	"4611686018427387904, 2048, 256, "	", SPOOLER_KEYWORD_CLASSIC, SPOOLER_KEYWORD_DRIVER, "	", Classic Spooler Event, Print Driver, "
"Microsoft-Windows-Kernel-EventTracing"	"29"	"4"	"0x4000000000000a20"	"4611686018427387904, 2048, 512, 32, "	", ETW_KEYWORD_GROUP, ETW_KEYWORD_REGISTRATION, ETW_KEYWORD_PROVIDER, "	", , , Provider, "
"Microsoft-Windows-Kernel-Power"	"35"	"5"	"0x4000000000000c0c"	"4611686018427387904, 2048, 1024, 8, 4, "	", po:PerformanceLight, po:DiagnosticLight, po:Performance, po:Diagnostic, "	", , , , , "
"Microsoft-Windows-Serial-ClassExtension-V2"	"27"	"2"	"0x4000000000001000"	"4611686018427387904, 4096, "	", PowerStateTransition, "	", Power state transition events., "
"Microsoft-Windows-USB-MAUSBHOST"	"59"	"3"	"0x4000000000001001"	"4611686018427387904, 4096, 1, "	", HWVerifyHost, Default, "	", , , "
"Microsoft-Windows-PrintService"	"342"	"3"	"0x4000000000001800"	"4611686018427387904, 4096, 2048, "	", SPOOLER_KEYWORD_ACTIVE_DIR, SPOOLER_KEYWORD_CLASSIC, "	", Active Directory, Classic Spooler Event, "
"Microsoft-Windows-AppXDeployment-Server"	"6803"	"2"	"0x4000000000002000"	"4611686018427387904, 8192, "	", APPX_BASE_DEH_KEYWORD, "	", AppX Base Extension Handler Keyword, "
"Microsoft-Windows-USB-USBHUB3"	"131"	"3"	"0x4000000000002001"	"4611686018427387904, 8192, 1, "	", HWVerifyHub, Default, "	", , , "
"Microsoft-Windows-USB-USBHUB3"	"123"	"4"	"0x4000000000002009"	"4611686018427387904, 8192, 8, 1, "	", HWVerifyHub, Power, Default, "	", , , , "
"Microsoft-Windows-USB-USBHUB3"	"179"	"4"	"0x4000000000002401"	"4611686018427387904, 8192, 1024, 1, "	", HWVerifyHub, Enumeration, Default, "	", , , , "
"Microsoft-Windows-PushNotifications-Platform"	"1110"	"2"	"0x4000000000004000"	"4611686018427387904, 16384, "	", wpnprv, "	", Connection Provider, "
"Microsoft-Windows-USB-USBHUB3"	"132"	"3"	"0x4000000000004001"	"4611686018427387904, 16384, 1, "	", HWVerifyDevice, Default, "	", , , "
"Microsoft-Windows-NDIS"	"10032"	"3"	"0x4000000000004004"	"4611686018427387904, 16384, 4, "	", LwtDiagnostic, Init, "	", , , "
"Microsoft-Windows-USB-USBHUB3"	"157"	"4"	"0x4000000000004005"	"4611686018427387904, 16384, 4, 1, "	", HWVerifyDevice, IRP, Default, "	", , , , "
"Microsoft-Windows-NDIS"	"10316"	"3"	"0x4000000000004010"	"4611686018427387904, 16384, 16, "	", LwtDiagnostic, Power, "	", , , "
"Microsoft-Windows-NDIS"	"10311"	"5"	"0x4000000000004016"	"4611686018427387904, 16384, 16, 4, 2, "	", LwtDiagnostic, Power, Init, PnP, "	", , , , , "
"Microsoft-Windows-NDIS"	"10054"	"3"	"0x4000000000004080"	"4611686018427387904, 16384, 128, "	", LwtDiagnostic, Port, "	", , , "
"Microsoft-Windows-NDIS"	"10104"	"3"	"0x4000000000004200"	"4611686018427387904, 16384, 512, "	", LwtDiagnostic, Indication, "	", , , "
"Microsoft-Windows-USB-USBHUB3"	"84"	"4"	"0x4000000000004401"	"4611686018427387904, 16384, 1024, 1, "	", HWVerifyDevice, Enumeration, Default, "	", , , , "
"Microsoft-Windows-PrintService"	"847"	"2"	"0x4000000000008000"	"4611686018427387904, 32768, "	", SPOOLER_KEYWORD_CSR, "	", Client Side Rendering (CSR), "
"Microsoft-Windows-USB-MAUSBHOST"	"2"	"3"	"0x4000000000008001"	"4611686018427387904, 32768, 1, "	", Rundown, Default, "	", , , "
"Microsoft-Windows-PrintService"	"603"	"3"	"0x4000000000008800"	"4611686018427387904, 32768, 2048, "	", SPOOLER_KEYWORD_CSR, SPOOLER_KEYWORD_CLASSIC, "	", Client Side Rendering (CSR), Classic Spooler Event, "
"Microsoft-Windows-PDFReader"	"98"	"2"	"0x4000000000010000"	"4611686018427387904, 65536, "	", Reader, "	", , "
"Microsoft-Windows-PrintService"	"701"	"3"	"0x4000000000010800"	"4611686018427387904, 65536, 2048, "	", SPOOLER_KEYWORD_PIPELINE, SPOOLER_KEYWORD_CLASSIC, "	", Print Filter Pipeline, Classic Spooler Event, "
"Microsoft-Windows-PushNotifications-Platform"	"5"	"4"	"0x4000000000019000"	"4611686018427387904, 65536, 32768, 4096, "	", wpnperf_FirstCloudNotificationWithCloudImage, wpnperf_FirstCloudNotification, wpnplat, "	", Performance Scenario: First cloud notification with cloud image download, Performance Scenario: First cloud notification, Platform, "
"Microsoft-Windows-PushNotifications-Platform"	"1112"	"4"	"0x400000000001c000"	"4611686018427387904, 65536, 32768, 16384, "	", wpnperf_FirstCloudNotificationWithCloudImage, wpnperf_FirstCloudNotification, wpnprv, "	", Performance Scenario: First cloud notification with cloud image download, Performance Scenario: First cloud notification, Connection Provider, "
"Microsoft-Windows-AppXDeployment-Server"	"7102"	"2"	"0x4000000000020000"	"4611686018427387904, 131072, "	", BACKGROUND_TASKS_DEH_KEYWORD, "	", BackgroundTasks Extension Handler Keyword, "
"Microsoft-AppV-Client"	"14028"	"2"	"0x4000000000040000"	"4611686018427387904, 262144, "	", Streaming, "	", Streaming, "
"Microsoft-Windows-USB-MAUSBHOST"	"225"	"2"	"0x4000000000080000"	"4611686018427387904, 524288, "	", MAUSBTraffic, "	", , "
"Microsoft-Windows-USB-USBXHCI"	"31"	"3"	"0x4000000000080001"	"4611686018427387904, 524288, 1, "	", ControllerCommand, Default, "	", , , "
"Microsoft-Windows-USB-MAUSBHOST"	"74"	"3"	"0x4000000000080004"	"4611686018427387904, 524288, 4, "	", MAUSBTraffic, IRP, "	", , , "
"Microsoft-AppV-Client"	"13003"	"2"	"0x4000000000100000"	"4611686018427387904, 1048576, "	", VirtualAppLaunch, "	", Virtual Application Launch, "
"Microsoft-Windows-PushNotifications-Platform"	"3023"	"5"	"0x4000000000150800"	"4611686018427387904, 1048576, 262144, 65536, 2048, "	", wpnperf_MoGoPanningWithCloudImage, wpnperf_NewCloudNotificationArrivalWithCloudImage, wpnperf_FirstCloudNotificationWithCloudImage, wpnui, "	", Performance Scenario: MoGo is panning with downloading cloud images, Performance Scenario: New cloud notification refering cloud images arrives, Performance Scenario: First cloud notification with cloud image download, Presentation Layer API, "
"Microsoft-Windows-PushNotifications-Platform"	"3011"	"4"	"0x4000000000180800"	"4611686018427387904, 1048576, 524288, 2048, "	", wpnperf_MoGoPanningWithCloudImage, wpnperf_MoGoPanning, wpnui, "	", Performance Scenario: MoGo is panning with downloading cloud images, Performance Scenario: MoGo is panning, Presentation Layer API, "
"Microsoft-Windows-AppXDeployment-Server"	"7302"	"2"	"0x4000000000200000"	"4611686018427387904, 2097152, "	", DSM_DEH_KEYWORD, "	", DSM Extension Handler Keyword, "
"Microsoft-Windows-StorDiag"	"5"	"3"	"0x4000000000200008"	"4611686018427387904, 2097152, 8, "	", Read, CopyOffload_Read, "	", Read request, CopyOffload Read request, "
"Microsoft-Windows-PushNotifications-Platform"	"6"	"3"	"0x4000000000201000"	"4611686018427387904, 2097152, 4096, "	", wpnperf_Shutdown, wpnplat, "	", Performance Scenario: The Windows Push Notification shutdown, Platform, "
"Microsoft-Windows-PrintService"	"856"	"4"	"0x4000000000208080"	"4611686018427387904, 2097152, 32768, 128, "	", SPOOLER_KEYWORD_BRANCH_OFFICE_PRINTING, SPOOLER_KEYWORD_CSR, SPOOLER_KEYWORD_CONNECTION, "	", Branch Office Printing, Client Side Rendering (CSR), Spooler Connection, "
"Microsoft-Windows-PushNotifications-Platform"	"1250"	"2"	"0x4000000000400000"	"4611686018427387904, 4194304, "	", wnptrans, "	", WNP Transport Layer, "
"Microsoft-Windows-StorDiag"	"6"	"3"	"0x4000000000400010"	"4611686018427387904, 4194304, 16, "	", Write, CopyOffload_Write, "	", Write request, CopyOffload Write request, "
"Microsoft-Windows-PushNotifications-Platform"	"1202"	"4"	"0x4000000000418000"	"4611686018427387904, 4194304, 65536, 32768, "	", wnptrans, wpnperf_FirstCloudNotificationWithCloudImage, wpnperf_FirstCloudNotification, "	", WNP Transport Layer, Performance Scenario: First cloud notification with cloud image download, Performance Scenario: First cloud notification, "
"Microsoft-Windows-PrintService"	"864"	"3"	"0x4000000000420000"	"4611686018427387904, 4194304, 131072, "	", SETUP_WFS_KEYWORD, SPOOLER_KEYWORD, "	", Service Windows Fax and Scan, Print Spooler, "
"Microsoft-Windows-StorDiag"	"7"	"5"	"0x4000000000600018"	"4611686018427387904, 4194304, 2097152, 16, 8, "	", Write, Read, CopyOffload_Write, CopyOffload_Read, "	", Write request, Read request, CopyOffload Write request, CopyOffload Read request, "
"Microsoft-AppV-Client"	"19002"	"2"	"0x4000000000800000"	"4611686018427387904, 8388608, "	", PublishingRefresh, "	", Publishing Refresh, "
"Microsoft-Windows-PushNotifications-Platform"	"2151"	"3"	"0x4000000000800200"	"4611686018427387904, 8388608, 512, "	", wpntroubleshoot, wpnend, "	", WNP Transport Layer, Endpoint Manager, "
"Microsoft-Windows-PushNotifications-Platform"	"3029"	"3"	"0x4000000000800800"	"4611686018427387904, 8388608, 2048, "	", wpntroubleshoot, wpnui, "	", WNP Transport Layer, Presentation Layer API, "
"Microsoft-Windows-PushNotifications-Platform"	"33"	"3"	"0x4000000000801000"	"4611686018427387904, 8388608, 4096, "	", wpntroubleshoot, wpnplat, "	", WNP Transport Layer, Platform, "
"Microsoft-Windows-StorDiag"	"204"	"3"	"0x4000000000a00000"	"4611686018427387904, 8388608, 2097152, "	", PagingRead, Read, "	", Paging Read request, Read request, "
"Microsoft-Windows-AppXDeployment-Server"	"7706"	"2"	"0x4000000001000000"	"4611686018427387904, 16777216, "	", DEVICEACCESS_DEH_KEYWORD, "	", DeviceAccess Extension Handler Keyword, "
"Microsoft-Windows-StorDiag"	"205"	"3"	"0x4000000001400000"	"4611686018427387904, 16777216, 4194304, "	", PagingWrite, Write, "	", Paging Write request, Write request, "
"Microsoft-Windows-AppXDeployment-Server"	"7751"	"2"	"0x4000000002000000"	"4611686018427387904, 33554432, "	", INDEXEDDB_DEH_KEYWORD, "	", IndexedDB Extension Handler Keyword, "
"Microsoft-Windows-StorDiag"	"206"	"3"	"0x4000000002200000"	"4611686018427387904, 33554432, 2097152, "	", LowMemoryRead, Read, "	", Low memory Read request, Read request, "
"Microsoft-Windows-AppXDeployment-Server"	"7601"	"2"	"0x4000000004000000"	"4611686018427387904, 67108864, "	", MSAC_SIGNOUT_DEH_KEYWORD, "	", MSAC SignOut Extension Handler Keyword, "
"Microsoft-Windows-Disk"	"207"	"3"	"0x4000000004400000"	"4611686018427387904, 67108864, 4194304, "	", LowMemoryWrite, Write, "	", Low memory write request, Write request, "
